id,indices,key,state
AC1_00000000001_@3@5@air,19028#205611#393373,AC1,air
GYR_00000000001_@3@5@air,20119#217406#415941,GYR,air
CTB_00000000001_@3@5@air,46217#499423#955495,CTB,air
CTR_00000000001_@3@5@air,46031#497417#951658,CTR,air
CV1_00000000001_@3@5@air,25517#275736#527538,CV1,air
VRY_00000000001_@3@5@air,25800#278801#533400,VRY,air
SMG_00000000001_@3@5@air,43435#469363#897985,SMG,air
AC1_00000000001_@3@5@water,29627#287422#524071#767768#1009452,AC1,water
GYR_00000000001_@3@5@water,31326#303910#554132#811809#1067356,GYR,water
CTB_00000000001_@3@5@water,71877#697312#1271442#1862673#2449018,CTB,water
